2 1 530101 38.50 66 28 3 3 4 2 5 4 4 4 4 4 3 5 45.00 8.40 4 4 2 2 11300 00000 00000 2
1 1 534817 39.2 88 20 4 4 4 1 3 4 2 4 4 4 4 2 50 85 2 2 3 2 02208 00000 00000 2 
2 1 530334 38.30 40 24 1 1 3 1 3 3 1 4 4 4 1 1 33.00 6.70 4 4 1 2 00000 00000 00000 1 
1 9 5290409 39.10 164 84 4 1 6 2 2 4 4 1 2 5.00 3 4 48.00 7.20 3 5.30 2 1 02208 00000 00000 1 
2 1 530255 37.30 104 35 4 4 6 2 4 4 4 4 4 4 4 4 74.00 7.40 4 4 2 2 04300 00000 00000 2 
2 1 528355 4 4 4 2 1 3 1 2 3 2 2 1 4 3 3 4 4 4 4 1 2 00000 00000 00000 2 
1 1 526802 37.90 48 16 1 1 1 1 3 3 3 1 1 4 3 5 37.00 7.00 4 4 1 1 03124 00000 00000 2 
1 1 529607 4 60 4 3 4 4 1 4 4 2 2 1 4 3 4 44.00 8.30 4 4 2 1 02208 00000 00000 2 
2 1 530051 4 80 36 3 4 3 1 4 4 4 2 1 4 3 5 38.00 6.20 4 4 3 1 03205 00000 00000 2 
2 9 5299629 38.30 90 4 1 4 1 1 5 3 1 2 1 4 3 4 40.00 6.20 1 2.20 1 2 00000 00000 00000 1 
1 1 528548 38.10 66 12 3 3 5 1 3 3 1 2 1 3.00 2 5 44.00 6.00 2 3.60 1 1 02124 00000 00000 1 
2 1 527927 39.10 72 52 2 4 2 1 2 1 2 1 1 4 4 4 50.00 7.80 4 4 1 1 02111 00000 00000 2 
1 1 528031 37.20 42 12 2 1 1 1 3 3 3 3 1 4 4 5 4 7.00 4 4 1 2 04124 00000 00000 2 
2 9 5291329 38.00 92 28 1 1 2 1 1 3 2 3 4 7.20 1 1 37.00 6.10 1 4 2 2 00000 00000 00000 1 
1 1 534917 38.2 76 28 3 1 1 1 3 4 1 2 2 4 4 4 46 81 1 2 1 1 02112 00000 00000 2 
